date,description,amount
2025-11-06,Whole Foods,-77.12
2025-11-10,Safeway,-182.06
2025-11-11,Parking,-12.87
2025-11-14,McDonalds,-53.67
2025-11-15,City Utility Bill,-99.70758762568352
2025-11-15,City Utility Bill,-81.05575882241382
2025-11-16,Steam Games,-30.54
2025-11-19,Costco,-154.64
2025-11-19,Luxury Watch Store,-5000.0
2025-11-22,Concert Ticket,-49.87
2025-11-23,Concert Ticket,-20.21
2025-11-24,Uber,-39.85
2025-11-26,Cinema,-37.37
2025-11-29,McDonalds,-26.58
2025-11-30,Shell Gas Station,-39.83
2025-12-01,Tech Corp Salary Input,4500.0
2025-12-01,Best Buy,-114.06
2025-12-03,Uber Eats,-27.8
2025-12-05,Luxury Apartments Rent,-1500.0
2025-12-05,Steam Games,-27.91
2025-12-07,Best Buy,-128.95
2025-12-08,Cinema,-56.13
2025-12-11,Starbucks,-79.46
2025-12-13,Public Transit,-14.47
2025-12-15,City Utility Bill,-66.04065687561074
2025-12-15,Steam Games,-56.41
2025-12-16,Online Store,-171.87
2025-12-17,Amazon,-127.11
2025-12-18,Best Buy,-86.36
2025-12-19,Clothing Store,-229.78
2025-12-20,Public Transit,-17.16
2025-12-21,Costco,-123.94
2025-12-22,Uber,-43.08
2025-12-23,Steam Games,-24.04
2025-12-24,Public Transit,-14.56
2025-12-25,Cinema,-42.2
2025-12-27,Starbucks,-21.19
2025-12-28,Netflix,-24.08
2025-12-30,Online Store,-207.41
2026-01-01,Tech Corp Salary Input,4500.0
2026-01-01,Shell Gas Station,-19.6
2026-01-03,Target,-254.57
2026-01-04,Costco,-48.45
2026-01-05,Luxury Apartments Rent,-1500.0
2026-01-05,Safeway,-144.4
2026-01-07,Starbucks,-17.86
2026-01-10,Whole Foods,-114.47
2026-01-12,Lyft,-44.16
2026-01-15,City Utility Bill,-52.27048414553144
2026-01-15,Local Market,-82.7
2026-01-16,Public Transit,-37.53
2026-01-17,Online Store,-197.02
2026-01-20,Whole Foods,-130.87
2026-01-22,Cinema,-26.66
2026-01-23,Local Cafe,-78.54
2026-01-24,Amazon,-81.64
2026-01-25,Spotify,-18.84
2026-01-29,Clothing Store,-201.9
2026-01-30,Netflix,-18.85
2026-01-31,Shell Gas Station,-42.37
