date,description,amount,manual_category,gst_rate,gst_amount
2021-05-23,Legal Consultation,-5864.4,Professional Services,18,894.57
2021-05-24,Facebook Ads,-9042.22,Marketing,18,1379.32
2021-05-24,Legal Consultation,-4779.9,Professional Services,18,729.14
2021-05-24,Staples Order,-171.66,Office Supplies,18,26.19
2021-05-25,Adobe Creative Cloud,-3027.98,Software,18,461.9
2021-05-25,AWS Cloud Bill,-5199.79,Software,18,793.19
2021-05-26,Toner Cartridges,-5093.98,Office Supplies,18,777.05
2021-05-26,Accounting Audit,-1510.69,Professional Services,18,230.44
2021-05-26,AWS Cloud Bill,-3902.45,Software,18,595.29
2021-05-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-05-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-05-28,Facebook Ads,-14966.92,Marketing,18,2283.09
2021-05-28,Whiteboard Markers,-3810.23,Office Supplies,12,408.24
2021-05-29,Server Rack Equipment,-59444.06,Hardware,18,9067.74
2021-05-29,Printer Paper,-857.59,Office Supplies,12,91.88
2021-05-29,Coffee for Pantry,-1278.18,Other,12,136.95
2021-05-30,Zoom Pro License,-1144.86,Software,18,174.64
2021-05-30,Zoom Pro License,-4404.66,Software,18,671.9
2021-05-31,Facebook Ads,-14740.33,Marketing,18,2248.52
2021-05-31,Staples Order,-221.51,Office Supplies,12,23.73
2021-05-31,Uber/Ola Rides,-7212.31,Travel,18,1100.18
2021-05-31,Whiteboard Markers,-5296.05,Office Supplies,12,567.43
2021-06-01,Google Ads Campaign,-2203.7,Marketing,18,336.16
2021-06-02,Online Store Sales,115343.69,Revenue,18,17594.8
2021-06-03,Zoom Pro License,-842.2,Software,18,128.47
2021-06-04,Adobe Creative Cloud,-2155.97,Software,18,328.88
2021-06-05,Office Rent,-59000.0,Rent,18,9000.0
2021-06-05,HR Consultant,-1543.41,Professional Services,18,235.44
2021-06-05,Toner Cartridges,-877.23,Office Supplies,18,133.82
2021-06-06,Hotel Stay - Client Visit,-12562.55,Travel,12,1345.99
2021-06-06,Flight to Mumbai,-14576.19,Travel,5,694.1
2021-06-06,New Laptop (Dell),-37880.33,Hardware,18,5778.35
2021-06-07,Repairs & Maintenance,-1480.97,Other,18,225.91
2021-06-07,Service Contract Q2,319596.67,Revenue,18,48752.03
2021-06-07,Accounting Audit,-1509.78,Professional Services,18,230.31
2021-06-07,Mouse & Keyboards,-26420.8,Hardware,18,4030.29
2021-06-08,Mouse & Keyboards,-46471.41,Hardware,18,7088.86
2021-06-09,Desk Organizers,-5373.0,Office Supplies,18,819.61
2021-06-09,Cleaning Services,-5221.39,Other,5,248.64
2021-06-10,Monthly Internet & Phone,-6748.522302150926,Utilities,18,1029.4356054128532
2021-06-10,Google Ads Campaign,-15692.53,Marketing,18,2393.78
2021-06-10,Ad Revenue,296858.76,Revenue,18,45283.54
2021-06-10,AWS Cloud Bill,-5362.25,Software,18,817.97
2021-06-10,Legal Consultation,-4334.14,Professional Services,18,661.14
2021-06-10,Uber/Ola Rides,-11211.96,Travel,5,533.9
2021-06-12,Adobe Creative Cloud,-5885.74,Software,18,897.82
2021-06-12,Uber/Ola Rides,-5384.72,Travel,12,576.93
2021-06-13,HR Consultant,-5560.09,Professional Services,18,848.15
2021-06-13,HR Consultant,-1710.54,Professional Services,18,260.93
2021-06-13,Flight to Mumbai,-4229.97,Travel,12,453.21
2021-06-13,Ad Revenue,149463.88,Revenue,18,22799.58
2021-06-16,Consulting Fees,277562.35,Revenue,18,42340.02
2021-06-17,Microsoft 365,-4397.46,Software,18,670.8
2021-06-17,Coffee for Pantry,-1232.96,Other,5,58.71
2021-06-17,New Laptop (Dell),-47101.09,Hardware,18,7184.91
2021-06-17,Flight to Mumbai,-13309.6,Travel,5,633.79
2021-06-18,Zoom Pro License,-791.04,Software,18,120.67
2021-06-18,Printer Paper,-2571.24,Office Supplies,18,392.22
2021-06-19,Hotel Stay - Client Visit,-16104.5,Travel,18,2456.62
2021-06-19,Coffee for Pantry,-262.06,Other,18,39.97
2021-06-20,LinkedIn Promo,-1543.01,Marketing,18,235.37
2021-06-20,Online Store Sales,290863.15,Revenue,18,44368.96
2021-06-20,Zoom Pro License,-656.24,Software,18,100.1
2021-06-20,Hotel Stay - Client Visit,-1424.94,Travel,18,217.36
2021-06-21,Flight to Mumbai,-13829.55,Travel,12,1481.74
2021-06-22,New Laptop (Dell),-58081.76,Hardware,18,8859.93
2021-06-23,Desk Organizers,-2250.38,Office Supplies,18,343.28
2021-06-23,Product Sales,86314.24,Revenue,18,13166.58
2021-06-23,Cleaning Services,-3487.2,Other,12,373.63
2021-06-24,Zoom Pro License,-2515.77,Software,18,383.76
2021-06-24,Cleaning Services,-5329.4,Other,18,812.96
2021-06-24,AWS Cloud Bill,-4903.7,Software,18,748.02
2021-06-26,Printer Paper,-4200.61,Office Supplies,12,450.07
2021-06-26,Printer Paper,-4776.61,Office Supplies,18,728.64
2021-06-26,Mouse & Keyboards,-39858.45,Hardware,18,6080.1
2021-06-27,Cleaning Services,-938.41,Other,12,100.54
2021-06-27,Desk Organizers,-4214.47,Office Supplies,12,451.55
2021-06-27,Consulting Fees,348854.53,Revenue,18,53215.1
2021-06-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-06-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-06-28,AWS Cloud Bill,-4386.51,Software,18,669.13
2021-06-28,Diwali Gifts,-1913.96,Other,5,91.14
2021-06-28,Flight to Mumbai,-9436.16,Travel,18,1439.41
2021-06-28,Coffee for Pantry,-2584.58,Other,5,123.08
2021-06-29,Print Media Ad,-6884.32,Marketing,18,1050.15
2021-06-30,Cleaning Services,-696.37,Other,12,74.61
2021-06-30,Uber/Ola Rides,-8831.73,Travel,12,946.26
2021-06-30,AWS Cloud Bill,-1574.65,Software,18,240.2
2021-07-02,AWS Cloud Bill,-4991.51,Software,18,761.42
2021-07-02,Google Ads Campaign,-15597.77,Marketing,18,2379.32
2021-07-02,AWS Cloud Bill,-3527.93,Software,18,538.16
2021-07-05,Office Rent,-59000.0,Rent,18,9000.0
2021-07-05,Coffee for Pantry,-810.86,Other,5,38.61
2021-07-05,HR Consultant,-3020.14,Professional Services,18,460.7
2021-07-05,Server Rack Equipment,-51241.76,Hardware,18,7816.54
2021-07-05,Coffee for Pantry,-4078.41,Other,5,194.21
2021-07-06,Microsoft 365,-4271.96,Software,18,651.66
2021-07-06,Legal Consultation,-5232.84,Professional Services,18,798.23
2021-07-07,LinkedIn Promo,-14754.26,Marketing,18,2250.65
2021-07-07,Zoom Pro License,-1950.57,Software,18,297.54
2021-07-08,Marketing Agency Fees,-1850.58,Professional Services,18,282.29
2021-07-10,Monthly Internet & Phone,-8379.044642139212,Utilities,18,1278.159352190727
2021-07-10,Facebook Ads,-8099.73,Marketing,18,1235.55
2021-07-10,Ad Revenue,229006.04,Revenue,18,34933.12
2021-07-12,HR Consultant,-2108.4,Professional Services,18,321.62
2021-07-13,Coffee for Pantry,-4478.9,Other,12,479.88
2021-07-13,Server Rack Equipment,-65804.2,Hardware,18,10037.93
2021-07-14,Train Tickets,-3208.29,Travel,12,343.75
2021-07-14,Mouse & Keyboards,-49148.34,Hardware,18,7497.2
2021-07-15,Microsoft 365,-4305.65,Software,18,656.79
2021-07-15,Google Ads Campaign,-17407.7,Marketing,18,2655.41
2021-07-16,Hotel Stay - Client Visit,-235.81,Travel,5,11.23
2021-07-16,Zoom Pro License,-4196.89,Software,18,640.2
2021-07-17,New Laptop (Dell),-29056.01,Hardware,18,4432.27
2021-07-17,Legal Consultation,-4451.26,Professional Services,18,679.01
2021-07-17,Ad Revenue,124034.27,Revenue,18,18920.48
2021-07-18,Adobe Creative Cloud,-3639.58,Software,18,555.19
2021-07-19,Adobe Creative Cloud,-1844.31,Software,18,281.34
2021-07-20,New Laptop (Dell),-63299.86,Hardware,18,9655.91
2021-07-20,SaaS Subscription (Jira),-2143.49,Software,18,326.97
2021-07-20,Accounting Audit,-4054.44,Professional Services,18,618.47
2021-07-21,Hotel Stay - Client Visit,-8335.99,Travel,18,1271.59
2021-07-21,Zoom Pro License,-2746.46,Software,18,418.95
2021-07-21,Diwali Gifts,-5128.87,Other,12,549.52
2021-07-22,Uber/Ola Rides,-1324.14,Travel,18,201.99
2021-07-22,Repairs & Maintenance,-4687.61,Other,5,223.22
2021-07-23,Hotel Stay - Client Visit,-15499.88,Travel,5,738.09
2021-07-25,Print Media Ad,-17672.62,Marketing,18,2695.82
2021-07-25,AWS Cloud Bill,-765.62,Software,18,116.79
2021-07-26,AWS Cloud Bill,-4510.34,Software,18,688.02
2021-07-27,Monitor Screen,-74482.67,Hardware,18,11361.76
2021-07-27,HR Consultant,-875.04,Professional Services,18,133.48
2021-07-27,Monitor Screen,-65966.75,Hardware,18,10062.72
2021-07-27,Repairs & Maintenance,-4078.36,Other,5,194.21
2021-07-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-07-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-07-28,Hotel Stay - Client Visit,-8867.76,Travel,18,1352.71
2021-07-28,Hotel Stay - Client Visit,-6342.76,Travel,5,302.04
2021-07-28,Ad Revenue,303255.11,Revenue,18,46259.25
2021-07-29,Legal Consultation,-234.84,Professional Services,18,35.82
2021-07-29,Zoom Pro License,-2517.52,Software,18,384.03
2021-08-01,Flight to Mumbai,-15260.58,Travel,12,1635.06
2021-08-01,Coffee for Pantry,-4787.87,Other,12,512.99
2021-08-02,Monitor Screen,-51588.17,Hardware,18,7869.38
2021-08-03,Repairs & Maintenance,-3017.11,Other,18,460.24
2021-08-03,Uber/Ola Rides,-16607.03,Travel,18,2533.28
2021-08-03,Service Contract Q2,290820.86,Revenue,18,44362.5
2021-08-05,Office Rent,-59000.0,Rent,18,9000.0
2021-08-06,Monitor Screen,-87059.66,Hardware,18,13280.29
2021-08-06,SaaS Subscription (Jira),-939.67,Software,18,143.34
2021-08-06,Monitor Screen,-47439.2,Hardware,18,7236.49
2021-08-06,Toner Cartridges,-1063.43,Office Supplies,12,113.94
2021-08-08,Print Media Ad,-21841.14,Marketing,18,3331.7
2021-08-09,Toner Cartridges,-154.96,Office Supplies,12,16.6
2021-08-09,Hotel Stay - Client Visit,-12545.43,Travel,12,1344.15
2021-08-09,Legal Consultation,-5074.38,Professional Services,18,774.06
2021-08-09,Consulting Fees,337579.21,Revenue,18,51495.13
2021-08-10,Monthly Internet & Phone,-5753.8233603871,Utilities,18,877.7018685336255
2021-08-10,Whiteboard Markers,-4069.89,Office Supplies,12,436.06
2021-08-11,Cleaning Services,-3507.82,Other,12,375.84
2021-08-11,Hotel Stay - Client Visit,-2805.65,Travel,18,427.98
2021-08-12,Hotel Stay - Client Visit,-15278.07,Travel,5,727.53
2021-08-13,HR Consultant,-3265.12,Professional Services,18,498.07
2021-08-13,Toner Cartridges,-1535.69,Office Supplies,12,164.54
2021-08-13,Coffee for Pantry,-1811.87,Other,5,86.28
2021-08-15,Adobe Creative Cloud,-3504.29,Software,18,534.55
2021-08-15,Facebook Ads,-13461.25,Marketing,18,2053.41
2021-08-16,Toner Cartridges,-5126.94,Office Supplies,12,549.32
2021-08-16,LinkedIn Promo,-11403.53,Marketing,18,1739.52
2021-08-16,Online Store Sales,205328.18,Revenue,18,31321.25
2021-08-17,Monitor Screen,-32623.48,Hardware,18,4976.46
2021-08-17,Adobe Creative Cloud,-3990.35,Software,18,608.7
2021-08-17,Legal Consultation,-3126.09,Professional Services,18,476.86
2021-08-17,Adobe Creative Cloud,-3251.38,Software,18,495.97
2021-08-18,Accounting Audit,-4097.76,Professional Services,18,625.08
2021-08-19,Desk Organizers,-4163.84,Office Supplies,18,635.16
2021-08-19,Hotel Stay - Client Visit,-7184.32,Travel,5,342.11
2021-08-19,Uber/Ola Rides,-8693.87,Travel,18,1326.18
2021-08-20,LinkedIn Promo,-15834.63,Marketing,18,2415.45
2021-08-20,Printer Paper,-762.65,Office Supplies,12,81.71
2021-08-22,Repairs & Maintenance,-4869.13,Other,18,742.75
2021-08-23,Product Sales,93993.7,Revenue,18,14338.02
2021-08-23,Train Tickets,-1218.51,Travel,12,130.56
2021-08-24,Client Payment - Project A,333423.5,Revenue,18,50861.21
2021-08-25,Accounting Audit,-4284.7,Professional Services,18,653.6
2021-08-27,Flight to Mumbai,-8841.9,Travel,5,421.04
2021-08-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-08-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-08-28,Desk Organizers,-353.38,Office Supplies,18,53.91
2021-08-28,Accounting Audit,-2184.95,Professional Services,18,333.3
2021-08-28,New Laptop (Dell),-25405.28,Hardware,18,3875.38
2021-08-28,Ad Revenue,278094.8,Revenue,18,42421.24
2021-08-29,Flight to Mumbai,-16716.34,Travel,18,2549.95
2021-08-30,Flight to Mumbai,-12585.56,Travel,5,599.31
2021-08-30,Google Ads Campaign,-12856.97,Marketing,18,1961.23
2021-08-31,Ad Revenue,95776.13,Revenue,18,14609.92
2021-08-31,Coffee for Pantry,-3307.03,Other,18,504.46
2021-09-01,Uber/Ola Rides,-9125.23,Travel,5,434.53
2021-09-02,Diwali Gifts,-2753.25,Other,5,131.11
2021-09-03,Train Tickets,-15162.17,Travel,12,1624.52
2021-09-03,Product Sales,200095.09,Revenue,18,30522.98
2021-09-03,Train Tickets,-7319.75,Travel,5,348.56
2021-09-04,Whiteboard Markers,-4437.68,Office Supplies,18,676.93
2021-09-04,Mouse & Keyboards,-77914.77,Hardware,18,11885.3
2021-09-05,Office Rent,-59000.0,Rent,18,9000.0
2021-09-05,AWS Cloud Bill,-949.87,Software,18,144.89
2021-09-05,Toner Cartridges,-2713.98,Office Supplies,12,290.78
2021-09-06,Legal Consultation,-945.11,Professional Services,18,144.17
2021-09-06,Facebook Ads,-17887.45,Marketing,18,2728.59
2021-09-06,Printer Paper,-971.56,Office Supplies,18,148.2
2021-09-07,Train Tickets,-9305.82,Travel,5,443.13
2021-09-07,Monitor Screen,-19480.76,Hardware,18,2971.64
2021-09-08,Facebook Ads,-18415.48,Marketing,18,2809.14
2021-09-08,Service Contract Q2,117078.23,Revenue,18,17859.39
2021-09-10,Monthly Internet & Phone,-6531.391580837887,Utilities,18,996.3139699583218
2021-09-10,Printer Paper,-3523.33,Office Supplies,12,377.5
2021-09-10,Uber/Ola Rides,-14036.65,Travel,5,668.41
2021-09-11,Zoom Pro License,-5148.19,Software,18,785.32
2021-09-12,Accounting Audit,-4839.62,Professional Services,18,738.25
2021-09-12,Toner Cartridges,-5221.6,Office Supplies,18,796.52
2021-09-13,Consulting Fees,121680.26,Revenue,18,18561.4
2021-09-13,Repairs & Maintenance,-3947.35,Other,5,187.97
2021-09-13,Staples Order,-343.1,Office Supplies,12,36.76
2021-09-13,Diwali Gifts,-843.02,Other,12,90.32
2021-09-14,Server Rack Equipment,-27357.36,Hardware,18,4173.16
2021-09-16,Coffee for Pantry,-5109.33,Other,12,547.43
2021-09-16,SaaS Subscription (Jira),-2093.17,Software,18,319.3
2021-09-16,Monitor Screen,-59307.86,Hardware,18,9046.96
2021-09-16,Mouse & Keyboards,-92113.89,Hardware,18,14051.27
2021-09-17,Microsoft 365,-4433.78,Software,18,676.34
2021-09-17,Facebook Ads,-20464.99,Marketing,18,3121.78
2021-09-18,Ad Revenue,307573.13,Revenue,18,46917.94
2021-09-18,LinkedIn Promo,-18877.57,Marketing,18,2879.63
2021-09-19,AWS Cloud Bill,-3066.57,Software,18,467.78
2021-09-19,Adobe Creative Cloud,-976.48,Software,18,148.96
2021-09-19,Server Rack Equipment,-81855.4,Hardware,18,12486.42
2021-09-20,Repairs & Maintenance,-1095.1,Other,5,52.15
2021-09-20,Service Contract Q2,302450.0,Revenue,18,46136.44
2021-09-20,Mouse & Keyboards,-82055.19,Hardware,18,12516.89
2021-09-21,Diwali Gifts,-5079.38,Other,12,544.22
2021-09-22,Ad Revenue,220203.43,Revenue,18,33590.35
2021-09-22,Hotel Stay - Client Visit,-3578.68,Travel,18,545.9
2021-09-23,Print Media Ad,-4581.36,Marketing,18,698.85
2021-09-24,Marketing Agency Fees,-3776.07,Professional Services,18,576.01
2021-09-24,Mouse & Keyboards,-58951.75,Hardware,18,8992.64
2021-09-24,Marketing Agency Fees,-4568.4,Professional Services,18,696.87
2021-09-24,Hotel Stay - Client Visit,-613.82,Travel,5,29.23
2021-09-24,Product Sales,216489.45,Revenue,18,33023.81
2021-09-25,Cleaning Services,-1263.01,Other,12,135.32
2021-09-25,Ad Revenue,122988.32,Revenue,18,18760.93
2021-09-26,Flight to Mumbai,-6242.96,Travel,18,952.32
2021-09-26,Legal Consultation,-1537.7,Professional Services,18,234.56
2021-09-26,Ad Revenue,289511.64,Revenue,18,44162.79
2021-09-26,Server Rack Equipment,-59524.85,Hardware,18,9080.06
2021-09-27,Diwali Gifts,-1939.46,Other,12,207.8
2021-09-27,Facebook Ads,-17530.23,Marketing,18,2674.1
2021-09-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-09-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-09-28,Marketing Agency Fees,-5572.4,Professional Services,18,850.03
2021-09-28,Print Media Ad,-5484.72,Marketing,18,836.65
2021-09-28,Printer Paper,-4300.12,Office Supplies,12,460.73
2021-09-28,Mouse & Keyboards,-78544.2,Hardware,18,11981.32
2021-09-28,Online Store Sales,168735.52,Revenue,18,25739.32
2021-09-29,Mouse & Keyboards,-11719.0,Hardware,18,1787.64
2021-09-29,Facebook Ads,-23113.21,Marketing,18,3525.74
2021-09-30,Repairs & Maintenance,-1907.45,Other,5,90.83
2021-10-02,Diwali Gifts,-438.64,Other,12,47.0
2021-10-02,Mouse & Keyboards,-34721.03,Hardware,18,5296.43
2021-10-03,Train Tickets,-1230.41,Travel,5,58.59
2021-10-03,Flight to Mumbai,-16706.66,Travel,12,1790.0
2021-10-04,Whiteboard Markers,-3032.33,Office Supplies,12,324.89
2021-10-04,HR Consultant,-1831.61,Professional Services,18,279.4
2021-10-05,Office Rent,-59000.0,Rent,18,9000.0
2021-10-05,Train Tickets,-3199.2,Travel,5,152.34
2021-10-05,SaaS Subscription (Jira),-3700.99,Software,18,564.56
2021-10-06,AWS Cloud Bill,-5794.26,Software,18,883.87
2021-10-06,Whiteboard Markers,-1931.66,Office Supplies,18,294.66
2021-10-06,Desk Organizers,-2423.69,Office Supplies,12,259.68
2021-10-06,Diwali Gifts,-4513.19,Other,18,688.45
2021-10-07,Hotel Stay - Client Visit,-4206.59,Travel,18,641.68
2021-10-07,Whiteboard Markers,-2235.03,Office Supplies,12,239.47
2021-10-09,AWS Cloud Bill,-3483.71,Software,18,531.41
2021-10-09,AWS Cloud Bill,-2485.08,Software,18,379.08
2021-10-10,Monthly Internet & Phone,-8725.3130469352,Utilities,18,1330.979956312149
2021-10-11,Accounting Audit,-5128.21,Professional Services,18,782.27
2021-10-11,Print Media Ad,-22189.45,Marketing,18,3384.83
2021-10-12,Marketing Agency Fees,-3250.27,Professional Services,18,495.8
2021-10-12,Train Tickets,-6266.66,Travel,12,671.43
2021-10-12,Repairs & Maintenance,-692.94,Other,18,105.7
2021-10-12,Online Store Sales,308630.22,Revenue,18,47079.19
2021-10-14,Repairs & Maintenance,-2905.08,Other,5,138.34
2021-10-14,SaaS Subscription (Jira),-2829.88,Software,18,431.68
2021-10-15,Facebook Ads,-2092.88,Marketing,18,319.25
2021-10-15,Diwali Gifts,-5063.17,Other,5,241.1
2021-10-15,Cleaning Services,-4394.76,Other,5,209.27
2021-10-16,Repairs & Maintenance,-5828.18,Other,18,889.04
2021-10-17,Accounting Audit,-3045.81,Professional Services,18,464.62
2021-10-18,Cleaning Services,-3124.53,Other,12,334.77
2021-10-20,Diwali Gifts,-3919.63,Other,5,186.65
2021-10-20,Mouse & Keyboards,-48703.63,Hardware,18,7429.37
2021-10-20,Zoom Pro License,-2409.58,Software,18,367.56
2021-10-20,HR Consultant,-566.32,Professional Services,18,86.39
2021-10-21,Ad Revenue,278190.63,Revenue,18,42435.86
2021-10-21,Mouse & Keyboards,-82596.27,Hardware,18,12599.43
2021-10-22,Cleaning Services,-4228.69,Other,18,645.05
2021-10-22,Ad Revenue,169028.53,Revenue,18,25784.01
2021-10-22,Printer Paper,-1980.87,Office Supplies,18,302.17
2021-10-23,Legal Consultation,-846.61,Professional Services,18,129.14
2021-10-23,Accounting Audit,-3778.06,Professional Services,18,576.31
2021-10-23,Server Rack Equipment,-89333.32,Hardware,18,13627.12
2021-10-24,Coffee for Pantry,-4815.07,Other,18,734.5
2021-10-24,Marketing Agency Fees,-926.25,Professional Services,18,141.29
2021-10-24,New Laptop (Dell),-18763.22,Hardware,18,2862.19
2021-10-25,Printer Paper,-2823.13,Office Supplies,12,302.48
2021-10-25,AWS Cloud Bill,-781.75,Software,18,119.25
2021-10-25,Print Media Ad,-7980.68,Marketing,18,1217.39
2021-10-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-10-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-10-28,Facebook Ads,-18781.75,Marketing,18,2865.01
2021-10-28,Uber/Ola Rides,-2373.74,Travel,18,362.1
2021-10-29,Whiteboard Markers,-2236.82,Office Supplies,12,239.66
2021-10-29,AWS Cloud Bill,-5361.51,Software,18,817.86
2021-10-30,Staples Order,-3020.86,Office Supplies,12,323.66
2021-10-31,Hotel Stay - Client Visit,-15097.13,Travel,12,1617.55
2021-10-31,Ad Revenue,292514.43,Revenue,18,44620.85
2021-10-31,New Laptop (Dell),-58480.14,Hardware,18,8920.7
2021-11-01,Flight to Mumbai,-12798.13,Travel,18,1952.26
2021-11-01,Uber/Ola Rides,-17209.46,Travel,18,2625.17
2021-11-01,New Laptop (Dell),-23348.96,Hardware,18,3561.71
2021-11-01,Google Ads Campaign,-10882.53,Marketing,18,1660.05
2021-11-01,Legal Consultation,-829.72,Professional Services,18,126.57
2021-11-02,Legal Consultation,-1820.61,Professional Services,18,277.72
2021-11-02,Uber/Ola Rides,-15828.94,Travel,18,2414.58
2021-11-03,Microsoft 365,-2867.33,Software,18,437.39
2021-11-03,Product Sales,165294.9,Revenue,18,25214.48
2021-11-03,Facebook Ads,-13378.01,Marketing,18,2040.71
2021-11-05,Office Rent,-59000.0,Rent,18,9000.0
