date,description,amount,manual_category,gst_rate,gst_amount
2021-05-22,HR Consultant,-1723.91,Professional Services,18,262.97
2021-05-24,Desk Organizers,-787.37,Office Supplies,12,84.36
2021-05-25,Whiteboard Markers,-1711.7,Office Supplies,18,261.11
2021-05-26,Desk Organizers,-3666.78,Office Supplies,12,392.87
2021-05-27,New Laptop (Dell),-92283.21,Hardware,18,14077.1
2021-05-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-05-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-05-28,Mouse & Keyboards,-19476.62,Hardware,18,2971.01
2021-05-28,Toner Cartridges,-4739.79,Office Supplies,12,507.83
2021-05-29,Service Contract Q2,211250.08,Revenue,18,32224.59
2021-05-30,Hotel Stay - Client Visit,-6497.81,Travel,12,696.19
2021-05-30,HR Consultant,-1345.13,Professional Services,18,205.19
2021-06-01,Legal Consultation,-125.42,Professional Services,18,19.13
2021-06-02,New Laptop (Dell),-65845.95,Hardware,18,10044.3
2021-06-02,Uber/Ola Rides,-7088.89,Travel,18,1081.36
2021-06-02,Uber/Ola Rides,-6739.58,Travel,18,1028.07
2021-06-02,Server Rack Equipment,-14791.77,Hardware,18,2256.37
2021-06-04,Microsoft 365,-4424.43,Software,18,674.91
2021-06-04,Diwali Gifts,-2302.48,Other,5,109.64
2021-06-04,Google Ads Campaign,-17672.53,Marketing,18,2695.81
2021-06-05,Office Rent,-59000.0,Rent,18,9000.0
2021-06-05,Service Contract Q2,184965.76,Revenue,18,28215.12
2021-06-05,Toner Cartridges,-4840.88,Office Supplies,12,518.67
2021-06-05,Monitor Screen,-17906.45,Hardware,18,2731.49
2021-06-06,Service Contract Q2,158524.47,Revenue,18,24181.7
2021-06-06,Google Ads Campaign,-1526.85,Marketing,18,232.91
2021-06-06,New Laptop (Dell),-68641.56,Hardware,18,10470.75
2021-06-08,Flight to Mumbai,-15274.98,Travel,12,1636.6
2021-06-08,Consulting Fees,343301.99,Revenue,18,52368.1
2021-06-09,Repairs & Maintenance,-2339.15,Other,18,356.82
2021-06-10,Monthly Internet & Phone,-5055.028953906556,Utilities,18,771.1061116128644
2021-06-10,New Laptop (Dell),-12291.27,Hardware,18,1874.94
2021-06-11,Adobe Creative Cloud,-3747.4,Software,18,571.64
2021-06-11,AWS Cloud Bill,-3604.05,Software,18,549.77
2021-06-11,HR Consultant,-3936.04,Professional Services,18,600.41
2021-06-11,Online Store Sales,229943.84,Revenue,18,35076.18
2021-06-12,Train Tickets,-4120.06,Travel,5,196.19
2021-06-13,Hotel Stay - Client Visit,-6446.31,Travel,18,983.34
2021-06-13,Coffee for Pantry,-3740.83,Other,5,178.13
2021-06-13,Product Sales,271747.14,Revenue,18,41452.95
2021-06-14,Online Store Sales,208566.77,Revenue,18,31815.27
2021-06-14,Print Media Ad,-19104.33,Marketing,18,2914.22
2021-06-15,Hotel Stay - Client Visit,-13907.59,Travel,12,1490.1
2021-06-16,Cleaning Services,-627.83,Other,12,67.27
2021-06-17,Diwali Gifts,-3224.63,Other,5,153.55
2021-06-18,Online Store Sales,118381.0,Revenue,18,18058.12
2021-06-18,Server Rack Equipment,-16236.21,Hardware,18,2476.71
2021-06-19,Server Rack Equipment,-36922.32,Hardware,18,5632.22
2021-06-19,Cleaning Services,-5546.02,Other,18,846.0
2021-06-22,Desk Organizers,-3634.44,Office Supplies,18,554.41
2021-06-23,Whiteboard Markers,-2029.78,Office Supplies,12,217.48
2021-06-23,Diwali Gifts,-1567.08,Other,5,74.62
2021-06-24,Mouse & Keyboards,-31689.59,Hardware,18,4834.01
2021-06-24,Zoom Pro License,-4117.39,Software,18,628.08
2021-06-24,Accounting Audit,-5333.51,Professional Services,18,813.59
2021-06-25,Server Rack Equipment,-20446.72,Hardware,18,3118.99
2021-06-26,Print Media Ad,-17410.87,Marketing,18,2655.9
2021-06-27,Microsoft 365,-900.69,Software,18,137.39
2021-06-27,LinkedIn Promo,-8547.09,Marketing,18,1303.79
2021-06-27,LinkedIn Promo,-15442.71,Marketing,18,2355.67
2021-06-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-06-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-06-28,Desk Organizers,-1635.27,Office Supplies,12,175.21
2021-06-28,Google Ads Campaign,-22694.63,Marketing,18,3461.89
2021-06-29,Uber/Ola Rides,-8363.5,Travel,5,398.26
2021-07-01,Marketing Agency Fees,-3387.11,Professional Services,18,516.68
2021-07-02,SaaS Subscription (Jira),-592.36,Software,18,90.36
2021-07-04,Toner Cartridges,-5109.31,Office Supplies,18,779.39
2021-07-04,Printer Paper,-3417.62,Office Supplies,12,366.17
2021-07-05,Office Rent,-59000.0,Rent,18,9000.0
2021-07-06,Zoom Pro License,-4358.94,Software,18,664.92
2021-07-06,Printer Paper,-2109.75,Office Supplies,12,226.04
2021-07-07,Service Contract Q2,111864.5,Revenue,18,17064.08
2021-07-07,Marketing Agency Fees,-3815.65,Professional Services,18,582.05
2021-07-07,Server Rack Equipment,-36219.77,Hardware,18,5525.05
2021-07-07,Flight to Mumbai,-12303.33,Travel,5,585.87
2021-07-08,Google Ads Campaign,-6624.36,Marketing,18,1010.5
2021-07-08,Printer Paper,-1731.54,Office Supplies,12,185.52
2021-07-08,Monitor Screen,-16081.2,Hardware,18,2453.06
2021-07-10,Monthly Internet & Phone,-5075.657968581134,Utilities,18,774.2529104615289
2021-07-10,Product Sales,316270.61,Revenue,18,48244.67
2021-07-11,LinkedIn Promo,-4358.15,Marketing,18,664.8
2021-07-11,Repairs & Maintenance,-1291.34,Other,5,61.49
2021-07-11,Marketing Agency Fees,-5088.38,Professional Services,18,776.19
2021-07-12,Staples Order,-2584.88,Office Supplies,18,394.3
2021-07-12,Monitor Screen,-91872.13,Hardware,18,14014.39
2021-07-13,HR Consultant,-5848.35,Professional Services,18,892.12
2021-07-14,New Laptop (Dell),-55441.38,Hardware,18,8457.16
2021-07-14,Whiteboard Markers,-1790.37,Office Supplies,18,273.11
2021-07-15,Facebook Ads,-6362.03,Marketing,18,970.48
2021-07-15,Print Media Ad,-15941.54,Marketing,18,2431.76
2021-07-15,Desk Organizers,-2670.77,Office Supplies,12,286.15
2021-07-15,AWS Cloud Bill,-5018.86,Software,18,765.59
2021-07-16,Train Tickets,-4581.98,Travel,5,218.19
2021-07-16,Ad Revenue,193028.42,Revenue,18,29445.01
2021-07-16,Client Payment - Project A,87475.15,Revenue,18,13343.67
2021-07-17,AWS Cloud Bill,-862.55,Software,18,131.58
2021-07-20,Cleaning Services,-2221.54,Other,5,105.79
2021-07-20,Legal Consultation,-4601.61,Professional Services,18,701.94
2021-07-21,Flight to Mumbai,-10908.95,Travel,18,1664.08
2021-07-22,HR Consultant,-4021.44,Professional Services,18,613.44
2021-07-22,Server Rack Equipment,-80107.98,Hardware,18,12219.86
2021-07-22,Hotel Stay - Client Visit,-13499.69,Travel,5,642.84
2021-07-24,Staples Order,-446.93,Office Supplies,18,68.18
2021-07-24,Staples Order,-4656.7,Office Supplies,18,710.34
2021-07-25,Ad Revenue,306164.08,Revenue,18,46703.0
2021-07-25,Repairs & Maintenance,-154.49,Other,18,23.57
2021-07-25,Uber/Ola Rides,-13342.0,Travel,5,635.33
2021-07-25,Flight to Mumbai,-11810.19,Travel,18,1801.55
2021-07-26,Hotel Stay - Client Visit,-6005.06,Travel,18,916.03
2021-07-26,Marketing Agency Fees,-5186.62,Professional Services,18,791.18
2021-07-26,Client Payment - Project A,196354.05,Revenue,18,29952.31
2021-07-26,LinkedIn Promo,-19980.71,Marketing,18,3047.9
2021-07-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-07-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-07-29,Client Payment - Project A,222524.23,Revenue,18,33944.37
2021-07-29,Flight to Mumbai,-6911.56,Travel,5,329.12
2021-07-29,Coffee for Pantry,-3502.53,Other,18,534.28
2021-07-30,Ad Revenue,214796.44,Revenue,18,32765.56
2021-07-31,HR Consultant,-2906.31,Professional Services,18,443.34
2021-08-01,Train Tickets,-15921.52,Travel,12,1705.88
2021-08-01,Facebook Ads,-23293.73,Marketing,18,3553.28
2021-08-01,New Laptop (Dell),-49477.33,Hardware,18,7547.39
2021-08-01,Zoom Pro License,-4124.63,Software,18,629.18
2021-08-02,Facebook Ads,-18784.76,Marketing,18,2865.47
2021-08-02,Google Ads Campaign,-11183.97,Marketing,18,1706.03
2021-08-03,Coffee for Pantry,-845.02,Other,5,40.24
2021-08-04,Flight to Mumbai,-16722.45,Travel,12,1791.69
2021-08-04,Client Payment - Project A,268335.89,Revenue,18,40932.59
2021-08-04,Uber/Ola Rides,-4804.69,Travel,5,228.79
2021-08-04,Mouse & Keyboards,-42494.05,Hardware,18,6482.14
2021-08-04,Monitor Screen,-52756.27,Hardware,18,8047.57
2021-08-05,Office Rent,-59000.0,Rent,18,9000.0
2021-08-05,Client Payment - Project A,311114.16,Revenue,18,47458.09
2021-08-06,Monitor Screen,-90617.85,Hardware,18,13823.06
2021-08-07,Service Contract Q2,258185.23,Revenue,18,39384.19
2021-08-09,Accounting Audit,-4255.28,Professional Services,18,649.11
2021-08-09,Monitor Screen,-55393.87,Hardware,18,8449.91
2021-08-09,AWS Cloud Bill,-1486.83,Software,18,226.8
2021-08-10,Monthly Internet & Phone,-5534.8870826163875,Utilities,18,844.3048092126693
2021-08-10,Marketing Agency Fees,-3388.43,Professional Services,18,516.88
2021-08-11,Server Rack Equipment,-11470.12,Hardware,18,1749.68
2021-08-11,Mouse & Keyboards,-55426.48,Hardware,18,8454.89
2021-08-11,Zoom Pro License,-3959.1,Software,18,603.93
2021-08-11,SaaS Subscription (Jira),-4496.22,Software,18,685.86
2021-08-12,Repairs & Maintenance,-3919.33,Other,12,419.93
2021-08-12,Google Ads Campaign,-16402.27,Marketing,18,2502.04
2021-08-12,Consulting Fees,277082.17,Revenue,18,42266.77
2021-08-12,Zoom Pro License,-3483.98,Software,18,531.46
2021-08-12,Diwali Gifts,-3434.61,Other,12,367.99
2021-08-13,Diwali Gifts,-4590.61,Other,18,700.26
2021-08-14,Print Media Ad,-20710.02,Marketing,18,3159.16
2021-08-14,Online Store Sales,111500.26,Revenue,18,17008.51
2021-08-15,Toner Cartridges,-4185.5,Office Supplies,18,638.47
2021-08-15,Consulting Fees,335812.55,Revenue,18,51225.64
2021-08-15,Coffee for Pantry,-2916.72,Other,12,312.51
2021-08-15,Legal Consultation,-1380.07,Professional Services,18,210.52
2021-08-16,Repairs & Maintenance,-1157.34,Other,12,124.0
2021-08-16,Online Store Sales,60458.21,Revenue,18,9222.44
2021-08-17,AWS Cloud Bill,-2128.18,Software,18,324.64
2021-08-18,New Laptop (Dell),-9118.48,Hardware,18,1390.96
2021-08-18,Service Contract Q2,225599.31,Revenue,18,34413.45
2021-08-18,Ad Revenue,324126.4,Revenue,18,49443.01
2021-08-19,HR Consultant,-2892.44,Professional Services,18,441.22
2021-08-20,Desk Organizers,-376.62,Office Supplies,12,40.35
2021-08-20,Marketing Agency Fees,-4054.06,Professional Services,18,618.42
2021-08-20,Diwali Gifts,-3538.02,Other,18,539.7
2021-08-21,Ad Revenue,293328.11,Revenue,18,44744.97
2021-08-23,Diwali Gifts,-5786.64,Other,18,882.71
2021-08-23,Consulting Fees,322675.94,Revenue,18,49221.75
2021-08-24,Diwali Gifts,-4307.37,Other,12,461.5
2021-08-25,Legal Consultation,-1364.8,Professional Services,18,208.19
2021-08-25,Cleaning Services,-3577.93,Other,18,545.79
2021-08-25,Zoom Pro License,-5277.54,Software,18,805.05
2021-08-26,Staples Order,-2103.26,Office Supplies,12,225.35
2021-08-26,Google Ads Campaign,-17105.02,Marketing,18,2609.24
2021-08-26,Coffee for Pantry,-540.05,Other,5,25.72
2021-08-26,Client Payment - Project A,244506.66,Revenue,18,37297.63
2021-08-27,Whiteboard Markers,-1577.65,Office Supplies,12,169.03
2021-08-27,Flight to Mumbai,-15171.79,Travel,5,722.47
2021-08-27,Product Sales,220749.52,Revenue,18,33673.66
2021-08-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-08-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-08-29,Marketing Agency Fees,-305.39,Professional Services,18,46.58
2021-08-29,Whiteboard Markers,-367.35,Office Supplies,18,56.04
2021-08-29,Coffee for Pantry,-2303.6,Other,12,246.81
2021-08-29,Uber/Ola Rides,-9355.54,Travel,5,445.5
2021-08-29,Coffee for Pantry,-681.3,Other,18,103.93
2021-08-30,Product Sales,113129.02,Revenue,18,17256.97
2021-08-30,Mouse & Keyboards,-65793.39,Hardware,18,10036.28
2021-08-30,Product Sales,136460.9,Revenue,18,20816.07
2021-08-31,Diwali Gifts,-3196.59,Other,12,342.49
2021-08-31,Service Contract Q2,165565.89,Revenue,18,25255.81
2021-08-31,Hotel Stay - Client Visit,-773.23,Travel,5,36.82
2021-08-31,Repairs & Maintenance,-1746.55,Other,18,266.42
2021-09-01,Mouse & Keyboards,-13868.1,Hardware,18,2115.47
2021-09-01,Desk Organizers,-1290.36,Office Supplies,12,138.25
2021-09-01,Flight to Mumbai,-7313.83,Travel,18,1115.67
2021-09-02,Toner Cartridges,-4665.84,Office Supplies,18,711.74
2021-09-02,Service Contract Q2,99668.22,Revenue,18,15203.63
2021-09-02,Cleaning Services,-3858.69,Other,18,588.61
2021-09-02,Online Store Sales,204026.8,Revenue,18,31122.73
2021-09-02,Monitor Screen,-93108.95,Hardware,18,14203.06
2021-09-03,Uber/Ola Rides,-16057.4,Travel,12,1720.44
2021-09-04,Mouse & Keyboards,-44848.95,Hardware,18,6841.36
2021-09-04,Toner Cartridges,-1370.02,Office Supplies,18,208.99
2021-09-04,New Laptop (Dell),-85326.89,Hardware,18,13015.97
2021-09-05,Office Rent,-59000.0,Rent,18,9000.0
2021-09-05,New Laptop (Dell),-93878.28,Hardware,18,14320.41
2021-09-05,Facebook Ads,-6607.63,Marketing,18,1007.94
2021-09-06,AWS Cloud Bill,-3799.97,Software,18,579.66
2021-09-06,Monitor Screen,-76158.31,Hardware,18,11617.37
2021-09-06,Zoom Pro License,-5500.79,Software,18,839.1
2021-09-06,Adobe Creative Cloud,-914.8,Software,18,139.55
2021-09-07,Accounting Audit,-3178.19,Professional Services,18,484.81
2021-09-09,Google Ads Campaign,-6027.39,Marketing,18,919.43
2021-09-09,Train Tickets,-10229.54,Travel,18,1560.44
2021-09-09,Staples Order,-5491.82,Office Supplies,18,837.74
2021-09-09,Zoom Pro License,-598.0,Software,18,91.22
2021-09-10,Monthly Internet & Phone,-8606.4083323094,Utilities,18,1312.8419489963492
2021-09-10,AWS Cloud Bill,-4352.18,Software,18,663.89
2021-09-13,Mouse & Keyboards,-47007.98,Hardware,18,7170.71
2021-09-13,Staples Order,-3756.32,Office Supplies,18,573.0
2021-09-14,HR Consultant,-3640.88,Professional Services,18,555.39
2021-09-15,Mouse & Keyboards,-32622.15,Hardware,18,4976.26
2021-09-16,Diwali Gifts,-1394.42,Other,5,66.4
2021-09-16,Printer Paper,-2811.5,Office Supplies,18,428.87
2021-09-19,Staples Order,-868.88,Office Supplies,12,93.09
2021-09-19,Mouse & Keyboards,-64454.26,Hardware,18,9832.01
2021-09-19,Train Tickets,-9518.89,Travel,5,453.28
2021-09-19,Monitor Screen,-9186.52,Hardware,18,1401.33
2021-09-20,Mouse & Keyboards,-59448.84,Hardware,18,9068.47
2021-09-21,Hotel Stay - Client Visit,-312.21,Travel,5,14.87
2021-09-21,Printer Paper,-665.31,Office Supplies,12,71.28
2021-09-22,Staples Order,-5315.9,Office Supplies,18,810.9
2021-09-22,Toner Cartridges,-1694.1,Office Supplies,12,181.51
2021-09-22,Staples Order,-777.92,Office Supplies,12,83.35
2021-09-23,HR Consultant,-4495.2,Professional Services,18,685.71
2021-09-23,New Laptop (Dell),-93100.9,Hardware,18,14201.83
2021-09-23,Cleaning Services,-1040.0,Other,12,111.43
2021-09-24,Train Tickets,-2635.11,Travel,18,401.97
2021-09-24,Legal Consultation,-5760.2,Professional Services,18,878.67
2021-09-24,Hotel Stay - Client Visit,-5253.39,Travel,5,250.16
2021-09-25,HR Consultant,-4355.04,Professional Services,18,664.33
2021-09-25,Hotel Stay - Client Visit,-9285.92,Travel,12,994.92
2021-09-26,Server Rack Equipment,-6435.81,Hardware,18,981.73
2021-09-26,AWS Cloud Bill,-5513.27,Software,18,841.01
2021-09-27,Ad Revenue,113677.9,Revenue,18,17340.7
2021-09-27,Repairs & Maintenance,-4200.86,Other,5,200.04
2021-09-27,SaaS Subscription (Jira),-2023.58,Software,18,308.68
2021-09-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-09-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-10-01,LinkedIn Promo,-9590.42,Marketing,18,1462.95
2021-10-03,Repairs & Maintenance,-5323.08,Other,12,570.33
2021-10-04,Coffee for Pantry,-2151.08,Other,5,102.43
2021-10-04,New Laptop (Dell),-15309.1,Hardware,18,2335.29
2021-10-04,Adobe Creative Cloud,-1371.22,Software,18,209.17
2021-10-05,Office Rent,-59000.0,Rent,18,9000.0
2021-10-07,Printer Paper,-521.7,Office Supplies,18,79.58
2021-10-08,Mouse & Keyboards,-65486.98,Hardware,18,9989.54
2021-10-08,Marketing Agency Fees,-5836.02,Professional Services,18,890.24
2021-10-09,Train Tickets,-8564.1,Travel,12,917.58
2021-10-10,Monthly Internet & Phone,-6690.830294293504,Utilities,18,1020.6351296379921
2021-10-10,Coffee for Pantry,-5709.97,Other,18,871.01
2021-10-11,Coffee for Pantry,-1466.98,Other,5,69.86
2021-10-11,Desk Organizers,-1857.64,Office Supplies,18,283.37
2021-10-13,New Laptop (Dell),-88111.74,Hardware,18,13440.77
2021-10-13,Online Store Sales,128913.76,Revenue,18,19664.81
2021-10-13,LinkedIn Promo,-19033.15,Marketing,18,2903.36
2021-10-13,New Laptop (Dell),-25376.7,Hardware,18,3871.02
2021-10-13,Microsoft 365,-3864.6,Software,18,589.52
2021-10-14,Train Tickets,-13122.54,Travel,5,624.88
2021-10-14,Legal Consultation,-5703.64,Professional Services,18,870.05
2021-10-14,Legal Consultation,-3092.74,Professional Services,18,471.77
2021-10-15,LinkedIn Promo,-3527.48,Marketing,18,538.09
2021-10-16,Toner Cartridges,-2208.22,Office Supplies,18,336.85
2021-10-17,Marketing Agency Fees,-860.94,Professional Services,18,131.33
2021-10-17,Repairs & Maintenance,-3533.56,Other,12,378.6
2021-10-17,Flight to Mumbai,-5090.65,Travel,18,776.54
2021-10-17,Flight to Mumbai,-12583.16,Travel,5,599.2
2021-10-18,Repairs & Maintenance,-3655.28,Other,5,174.06
2021-10-18,SaaS Subscription (Jira),-1750.18,Software,18,266.98
2021-10-18,Hotel Stay - Client Visit,-12143.82,Travel,18,1852.45
2021-10-19,Mouse & Keyboards,-89465.19,Hardware,18,13647.23
2021-10-19,Repairs & Maintenance,-4364.35,Other,12,467.61
2021-10-19,Consulting Fees,283233.33,Revenue,18,43205.08
2021-10-19,Coffee for Pantry,-3744.96,Other,5,178.33
2021-10-20,Consulting Fees,116264.44,Revenue,18,17735.25
2021-10-20,Monitor Screen,-33604.55,Hardware,18,5126.12
2021-10-20,Google Ads Campaign,-15136.95,Marketing,18,2309.03
2021-10-21,Print Media Ad,-9354.7,Marketing,18,1426.99
2021-10-21,Product Sales,348077.91,Revenue,18,53096.63
2021-10-21,SaaS Subscription (Jira),-2547.42,Software,18,388.59
2021-10-22,Accounting Audit,-1972.91,Professional Services,18,300.95
2021-10-22,Facebook Ads,-5220.47,Marketing,18,796.34
2021-10-23,Accounting Audit,-1936.06,Professional Services,18,295.33
2021-10-23,Legal Consultation,-162.02,Professional Services,18,24.72
2021-10-23,Coffee for Pantry,-1546.6,Other,18,235.92
2021-10-23,Zoom Pro License,-5175.45,Software,18,789.48
2021-10-24,Desk Organizers,-4139.46,Office Supplies,12,443.51
2021-10-24,LinkedIn Promo,-6526.6,Marketing,18,995.58
2021-10-24,New Laptop (Dell),-84532.36,Hardware,18,12894.77
2021-10-24,LinkedIn Promo,-6774.93,Marketing,18,1033.46
2021-10-25,Accounting Audit,-2248.28,Professional Services,18,342.96
2021-10-25,Consulting Fees,332873.97,Revenue,18,50777.39
2021-10-25,Repairs & Maintenance,-4178.98,Other,5,199.0
2021-10-25,New Laptop (Dell),-70767.99,Hardware,18,10795.12
2021-10-26,Marketing Agency Fees,-5387.73,Professional Services,18,821.86
2021-10-26,Product Sales,105215.27,Revenue,18,16049.79
2021-10-26,Accounting Audit,-3760.94,Professional Services,18,573.7
2021-10-26,Repairs & Maintenance,-3991.68,Other,5,190.08
2021-10-26,Microsoft 365,-5400.87,Software,18,823.86
2021-10-27,Whiteboard Markers,-3835.13,Office Supplies,18,585.02
2021-10-27,SaaS Subscription (Jira),-5426.92,Software,18,827.83
2021-10-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-10-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-10-28,New Laptop (Dell),-61653.72,Hardware,18,9404.8
