date,description,amount
2025-09-18,Fancy Dinner Place,-31.38022129181442
2025-09-20,Lyft,-36.54878290343707
2025-09-21,Parking,-13.604223538950587
2025-09-21,Best Buy,-205.67651491197182
2025-09-22,Chipotle,-17.383839634896464
2025-09-23,Netflix,-20.54899098629583
2025-09-26,Pharmacy,-77.05888975965998
2025-09-27,Fancy Dinner Place,-49.61052831193377
2025-09-27,Fancy Dinner Place,-24.682536253330973
2025-09-28,Cinema,-26.67987905048403
2025-09-28,Best Buy,-38.77333473147843
2025-09-28,Cinema,-24.850446400420935
2025-09-29,Parking,-12.153433013887156
2025-10-01,Tech Corp Salary Input,5000.0
2025-10-01,McDonalds,-34.80320582976818
2025-10-02,Shell Gas Station,-24.29988731533414
2025-10-03,Concert Ticket,-46.84164043955092
2025-10-03,Gym Membership,-65.4144940918136
2025-10-04,Costco,-114.77392593971865
2025-10-05,Luxury Apartments Rent,-1500.0
2025-10-05,Uber,-35.83586406230377
2025-10-05,Local Market,-92.45427050763972
2025-10-07,McDonalds,-55.97765173709149
2025-10-09,Parking,-32.046331677297346
2025-10-10,Local Cafe,-24.740313980153456
2025-10-10,Spotify,-41.71882200588257
2025-10-10,Target,-182.54556271485973
2025-10-11,Clothing Store,-39.63274751769941
2025-10-12,McDonalds,-35.63461878889884
2025-10-12,Online Store,-58.51815297405945
2025-10-13,Costco,-72.34950321009697
2025-10-13,Whole Foods,-102.37593176991352
2025-10-13,Trader Joes,-106.68143189054858
2025-10-13,Starbucks,-19.186979006653992
2025-10-15,City Utility Bill,-136.87684421783632
2025-10-16,Parking,-21.439418665929026
2025-10-16,Online Store,-29.002353267916593
2025-10-16,Trader Joes,-97.32057953101832
2025-10-18,Whole Foods,-59.16187515562578
2025-10-18,Uber Eats,-37.78620198297027
2025-10-19,Netflix,-43.224159699300934
2025-10-20,Shell Gas Station,-10.017222954422301
2025-10-22,Uber,-23.367041511820076
2025-10-23,Lyft,-28.85073651353737
2025-10-23,Chipotle,-38.22733245914775
2025-10-24,Chipotle,-16.549212543995054
2025-10-27,Safeway,-82.57995288398872
2025-10-28,McDonalds,-17.815349020705774
2025-10-28,Parking,-15.970151983128025
2025-10-28,Netflix,-15.99
2025-10-28,Spotify,-10.99
2025-10-29,Local Cafe,-41.781888019989154
2025-10-29,Starbucks,-25.08386212590416
2025-10-29,Cinema,-19.092744844903585
2025-11-01,Parking,-17.750253136726734
2025-11-01,Trader Joes,-71.34930314722627
2025-11-01,Tech Corp Salary Input,5000.0
2025-11-01,Uber,-24.856346273881368
2025-11-03,Spotify,-10.99
2025-11-03,Netflix,-15.99
2025-11-04,Chipotle,-50.86299018591775
2025-11-04,McDonalds,-55.261234053312215
2025-11-04,Uber,-31.798695590364595
2025-11-05,Target,-56.91342936393966
2025-11-05,Luxury Apartments Rent,-1500.0
2025-11-06,Online Store,-38.535837792354116
2025-11-06,Best Buy,-220.46561058560073
2025-11-06,McDonalds,-23.980153826240638
2025-11-07,Lyft,-28.87008277612253
2025-11-08,Trader Joes,-112.64054333101146
2025-11-08,Chipotle,-30.211943044223826
2025-11-08,Amazon,-20.902465267479805
2025-11-08,Uber Eats,-21.696471614516586
2025-11-11,Parking,-16.173930925261395
2025-11-12,Costco,-99.20482001233253
2025-11-13,Starbucks,-47.22305544129095
2025-11-15,City Utility Bill,-141.32808584806708
2025-11-18,Spotify,-34.51534540894645
2025-11-19,Best Buy,-51.26775451830903
2025-11-20,Uber Eats,-37.70364219076526
2025-11-21,Starbucks,-47.85614877899515
2025-11-21,Costco,-91.96633295870924
2025-11-21,Starbucks,-58.5844368462164
2025-11-21,Lyft,-14.076265949124673
2025-11-21,Chipotle,-41.411088218653
2025-11-24,Trader Joes,-73.24679051845385
2025-11-25,Fancy Dinner Place,-22.01843537080328
2025-11-27,Starbucks,-45.24439065155238
2025-11-27,Trader Joes,-60.227056732354065
2025-11-28,Netflix,-21.677035266901086
2025-11-29,Spotify,-38.03913059429965
2025-12-01,Tech Corp Salary Input,5000.0
2025-12-02,Uber,-22.838975904123785
2025-12-02,Pharmacy,-59.33729833112996
2025-12-04,Starbucks,-57.69132466421126
2025-12-04,McDonalds,-57.882373669733724
2025-12-05,Public Transit,-39.94499727792778
2025-12-05,Fancy Dinner Place,-36.99474382623288
2025-12-05,Luxury Apartments Rent,-1500.0
2025-12-06,Spotify,-36.01977864376654
2025-12-07,Chipotle,-16.46655571897393
2025-12-08,Uber Eats,-22.006652594303176
2025-12-09,Uber Eats,-39.008299411331585
2025-12-10,McDonalds,-58.787151613529836
2025-12-11,Netflix,-15.99
2025-12-11,Whole Foods,-93.32634973841397
2025-12-11,Local Market,-77.2730865497018
2025-12-11,Spotify,-10.99
2025-12-13,Concert Ticket,-28.909763531674354
2025-12-13,Steam Games,-49.9115763503941
2025-12-15,Starbucks,-33.94572223564396
2025-12-15,City Utility Bill,-134.64952723494457
2025-12-15,Local Market,-78.36972069140867
2025-12-15,Local Market,-92.12004792715464
2025-12-16,Public Transit,-38.952270250576305
2025-12-18,Amazon,-41.858279282420995
2025-12-18,Online Store,-29.834813682457284
2025-12-19,Best Buy,-169.04587871729473
2025-12-20,Safeway,-61.63740396387739
2025-12-22,Local Market,-50.79857337172381
2025-12-22,Shell Gas Station,-12.734819854211242
2025-12-23,Chipotle,-24.559318824150502
2025-12-24,Shell Gas Station,-26.89461068111206
2025-12-24,Steam Games,-32.70019063708965
2025-12-25,Local Cafe,-50.17870733014042
2025-12-26,Whole Foods,-80.97811188828146
2025-12-26,Parking,-21.218557893563556
2025-12-27,Cinema,-14.399782542135116
2025-12-27,Fancy Dinner Place,-25.691523077742204
2025-12-28,McDonalds,-40.24623377876874
2025-12-30,Local Market,-84.46815977674939
2025-12-30,Netflix,-22.55888205731699
2025-12-30,Local Cafe,-58.018064952083364
2025-12-30,Lyft,-32.28396843507232
2025-12-30,McDonalds,-31.61057736198376
2026-01-01,Tech Corp Salary Input,5000.0
2026-01-01,Parking,-29.351823173348375
2026-01-02,Safeway,-100.53755601605825
2026-01-02,Uber,-37.47130780034842
2026-01-02,Amazon,-35.494847806857564
2026-01-05,Luxury Apartments Rent,-1500.0
2026-01-05,Whole Foods,-117.97389054794237
2026-01-06,Chipotle,-27.074210479784696
2026-01-06,Whole Foods,-91.49284903363606
2026-01-07,Lyft,-36.39067693098099
2026-01-10,McDonalds,-17.14001118278843
2026-01-11,Parking,-10.229618930161976
2026-01-14,Netflix,-15.99
2026-01-14,Parking,-34.04905632455292
2026-01-14,Spotify,-10.99
2026-01-15,City Utility Bill,-154.51389445387622
2026-01-15,Pharmacy,-56.94871342683143
2026-01-15,Steam Games,-17.307485550432272
2026-01-16,Steam Games,-20.89833912815511
2026-01-16,Online Store,-188.97374878606993
2026-01-17,Local Market,-78.32522856729561
2026-01-19,Online Store,-58.53566088170413
2026-01-20,Lyft,-15.431742338746002
2026-01-21,Costco,-114.93021755197357
2026-01-21,Fancy Dinner Place,-57.648731795202146
2026-01-23,Amazon,-56.64639775069384
2026-01-24,Uber,-10.856723453175496
2026-01-25,Cinema,-31.104393415576933
2026-01-25,Chipotle,-20.152989365795086
2026-01-25,Public Transit,-31.823482763370507
2026-01-25,Clothing Store,-30.244610290522004
2026-01-25,Uber Eats,-26.92140700097309
2026-01-25,Fancy Dinner Place,-52.30667011230915
2026-01-26,Costco,-96.41685109492909
2026-01-26,Public Transit,-13.426696735012271
2026-01-27,McDonalds,-21.196795215286535
2026-01-27,Shell Gas Station,-38.15617548670117
2026-01-29,Local Cafe,-33.689670118357114
2026-02-01,Tech Corp Salary Input,5000.0
2026-02-01,Safeway,-73.49162256144615
2026-02-02,Whole Foods,-91.92221175848647
2026-02-03,Safeway,-59.05062190745184
2026-02-05,Luxury Apartments Rent,-1500.0
2026-02-06,Fancy Dinner Place,-18.537384211373805
2026-02-07,Cinema,-21.19644644447035
2026-02-07,Spotify,-20.059721291581457
2026-02-07,Public Transit,-33.60558552670268
2026-02-07,Starbucks,-18.878990439878642
2026-02-08,Costco,-84.54333318108655
2026-02-08,Local Cafe,-49.13106974754324
2026-02-10,Uber,-36.251800901908325
2026-02-11,Concert Ticket,-28.29646703666691
2026-02-11,Best Buy,-205.99450383196088
2026-02-12,Shell Gas Station,-39.77710501026584
2026-02-12,Whole Foods,-61.31240730391058
2026-02-13,Best Buy,-53.41995261517482
2026-02-13,Starbucks,-59.327404853583246
2026-02-15,Public Transit,-36.90019360702067
2026-02-15,City Utility Bill,-156.58089147170497
2026-02-15,Local Market,-104.6429036060392
2026-02-16,Target,-244.433730009628
2026-02-17,Fancy Dinner Place,-25.376691107446092
2026-02-19,Fancy Dinner Place,-54.48629658460914
2026-02-20,Starbucks,-59.723046137701125
2026-02-21,Lyft,-38.03107028431219
2026-02-21,Concert Ticket,-19.30269447412116
2026-02-21,Parking,-11.007210153365346
2026-02-22,McDonalds,-15.471774337437989
2026-02-23,Concert Ticket,-37.22522849624981
2026-02-24,Uber,-15.395929039164121
2026-02-24,Public Transit,-24.946637498826156
2026-02-24,Costco,-73.4586967276046
2026-02-25,Best Buy,-51.06147973510363
2026-02-26,Netflix,-15.99
2026-02-26,Spotify,-10.99
2026-02-26,Target,-50.59311447002982
2026-02-27,Local Cafe,-40.256180244832635
2026-02-27,Public Transit,-22.98805047601627
2026-03-01,Tech Corp Salary Input,5000.0
2026-03-02,Amazon,-38.900868483969376
2026-03-03,Trader Joes,-114.02076921660974
2026-03-04,Clothing Store,-31.697243423663405
2026-03-04,Steam Games,-12.062996843562921
2026-03-05,Luxury Apartments Rent,-1500.0
2026-03-06,Netflix,-37.156970546956174
2026-03-07,Chipotle,-33.36781454009093
2026-03-08,Whole Foods,-106.08925209974078
2026-03-08,Safeway,-119.25665256514591
2026-03-08,Uber,-12.308335352122793
2026-03-10,Whole Foods,-105.9078825347476
2026-03-12,Local Cafe,-54.526945129974386
2026-03-12,Parking,-25.509960698795098
2026-03-13,Shell Gas Station,-18.25808861945769
2026-03-14,Concert Ticket,-42.11238002372617
2026-03-14,Parking,-13.036979531792003
2026-03-15,City Utility Bill,-143.78516445001816
2026-03-15,Uber,-17.85861711153436
2026-03-17,Local Cafe,-36.23075030021896
2026-03-17,Target,-194.5405808793102
2026-03-20,Netflix,-15.99
2026-03-20,McDonalds,-45.033841623571114
2026-03-20,Spotify,-10.99
2026-03-21,Parking,-12.406792701789843
2026-03-21,Gym Membership,-94.63277581036974
2026-03-21,Safeway,-78.10554317257846
2026-03-22,Chipotle,-25.213685272687442
2026-03-22,Uber,-21.349662069426586
2026-03-22,Uber Eats,-56.403796346994596
2026-03-23,Cinema,-46.128855499443105
2026-03-25,Uber Eats,-51.083650372304845
2026-03-25,Public Transit,-11.080666959243246
2026-03-26,Shell Gas Station,-37.11639882882909
2026-03-26,Local Cafe,-57.307082545431115
2026-03-26,Netflix,-45.379155116584656
2026-03-27,Target,-188.42682247590852
2026-03-28,Whole Foods,-59.040196864700064
2026-04-01,Tech Corp Salary Input,5000.0
2026-04-01,Netflix,-25.28080868227573
2026-04-02,Health Insurance,-79.47530088104354
2026-04-03,Uber Eats,-28.176187458269467
2026-04-04,Local Market,-82.93476517263605
2026-04-04,Uber Eats,-18.27434740057111
2026-04-05,Luxury Apartments Rent,-1500.0
2026-04-05,Safeway,-88.09480306331113
2026-04-06,Steam Games,-38.79400063219241
2026-04-09,Parking,-14.561908617104796
2026-04-11,Netflix,-15.99
2026-04-11,Spotify,-10.99
2026-04-11,Chipotle,-26.497143102143262
2026-04-12,Local Market,-96.49368186265616
2026-04-13,Cinema,-49.02224028327328
2026-04-13,Online Store,-41.776300302375574
2026-04-13,Shell Gas Station,-36.27746898057533
2026-04-14,Trader Joes,-98.70972928664227
2026-04-14,Starbucks,-32.36139014159234
2026-04-15,Public Transit,-14.27151949387493
2026-04-15,Costco,-52.55279669468581
2026-04-15,City Utility Bill,-140.04743401974736
2026-04-16,Whole Foods,-79.56277550040164
2026-04-17,Concert Ticket,-40.7862138781094
2026-04-17,Fancy Dinner Place,-22.190222101582986
2026-04-17,Amazon,-210.41208691752323
2026-04-20,Spotify,-12.179227059990279
2026-04-20,Uber Eats,-19.378910789199466
2026-04-21,Amazon,-53.38182786454878
2026-04-23,Steam Games,-21.460450661705007
2026-04-24,Starbucks,-51.59663818370187
2026-04-24,Chipotle,-36.133745593732215
2026-04-25,Parking,-39.23491053969413
2026-04-27,Chipotle,-16.83352725435365
2026-04-29,Public Transit,-33.08479321531897
2026-05-01,Spotify,-10.99
2026-05-01,Tech Corp Salary Input,5000.0
2026-05-01,Netflix,-15.99
2026-05-02,Starbucks,-33.34177903275577
2026-05-03,Netflix,-37.67888327057133
2026-05-04,Cinema,-11.083438302975326
2026-05-04,Best Buy,-171.04882704487162
2026-05-05,Luxury Apartments Rent,-1500.0
2026-05-06,Steam Games,-23.849989790466964
2026-05-07,Whole Foods,-96.9512890290469
2026-05-09,McDonalds,-52.514550768443755
2026-05-10,Safeway,-113.20475912902307
2026-05-12,Fancy Dinner Place,-15.599144590076868
2026-05-13,McDonalds,-43.95003599100642
2026-05-13,Whole Foods,-59.60478900411228
2026-05-15,City Utility Bill,-136.58351186618629
2026-05-16,Local Market,-84.56298813793649
2026-05-18,Uber,-39.906593239550205
2026-05-19,Parking,-19.08605587567009
2026-05-20,Local Cafe,-55.46926076032845
2026-05-21,Doctor Visit,-110.52003865810858
2026-05-24,Online Store,-28.515213304949928
2026-05-25,Parking,-30.585872709786432
2026-05-26,Chipotle,-30.204992158482504
2026-05-26,Costco,-81.07046356763001
2026-05-26,Public Transit,-17.42494556901658
2026-05-26,Target,-244.31883297878647
2026-05-27,Uber,-10.289767201880004
2026-05-27,Uber Eats,-36.67260096736472
2026-05-27,Fancy Dinner Place,-52.617002453865
2026-05-28,Shell Gas Station,-11.412726772189943
2026-05-29,Costco,-90.78543472045342
2026-05-30,Amazon,-35.87216308012593
2026-06-01,McDonalds,-25.09493036298871
2026-06-01,Tech Corp Salary Input,5000.0
2026-06-02,Costco,-84.18040592129148
2026-06-02,Spotify,-38.725411898313666
2026-06-02,Best Buy,-51.02032932438732
2026-06-03,Health Insurance,-118.0192209910884
2026-06-05,Shell Gas Station,-23.20869111296631
2026-06-05,Luxury Apartments Rent,-1500.0
2026-06-05,Clothing Store,-40.44603836820613
2026-06-06,Starbucks,-24.836748497299716
2026-06-06,Parking,-32.64694709743361
2026-06-06,Uber,-14.176601652389643
2026-06-06,Chipotle,-59.15822965570574
2026-06-07,Best Buy,-46.587909549605584
2026-06-07,Lyft,-36.95072420526506
2026-06-08,Safeway,-113.56522832524149
2026-06-09,Starbucks,-52.6690007903071
2026-06-09,McDonalds,-28.027851375715862
2026-06-10,Cinema,-16.00986627201089
2026-06-10,Safeway,-78.75190292158285
2026-06-10,Netflix,-15.99
2026-06-10,Spotify,-10.99
2026-06-12,Lyft,-34.380424478092124
2026-06-12,Fancy Dinner Place,-55.98373097584728
2026-06-13,Concert Ticket,-36.75391114318783
2026-06-14,McDonalds,-59.17190100414794
2026-06-15,City Utility Bill,-154.41399172776008
2026-06-15,Parking,-30.78938036522789
2026-06-16,Safeway,-73.24049366907614
2026-06-16,Spotify,-13.520010810037002
2026-06-16,Whole Foods,-54.45531282537145
2026-06-17,Lyft,-17.952291835388362
2026-06-17,Local Market,-86.59500599269839
2026-06-17,Starbucks,-25.92903905241731
2026-06-19,Clothing Store,-229.90320226106314
2026-06-20,Local Cafe,-34.499865378604156
2026-06-22,Cinema,-11.221809660861982
2026-06-23,Clothing Store,-219.75621612757283
2026-06-24,Fancy Dinner Place,-39.70605310505533
2026-06-26,Shell Gas Station,-31.369767648325386
2026-06-26,Cinema,-30.69752295264394
2026-06-28,Chipotle,-23.679203328256406
2026-07-01,Trader Joes,-65.52077713045213
2026-07-01,Tech Corp Salary Input,5000.0
2026-07-02,Target,-40.05349522057229
2026-07-02,Fancy Dinner Place,-23.73105674048199
2026-07-02,Chipotle,-54.335399505221716
2026-07-03,Fancy Dinner Place,-23.83696395151332
2026-07-03,Doctor Visit,-50.62663819568154
2026-07-05,Luxury Apartments Rent,-1500.0
2026-07-05,Fancy Dinner Place,-18.08345475829614
2026-07-07,Parking,-34.38460748765909
2026-07-11,Target,-198.16858267831344
2026-07-11,Costco,-93.35872250191875
2026-07-11,Parking,-27.4501925896564
2026-07-12,Online Store,-45.43698064462417
2026-07-13,Parking,-22.55103259471678
2026-07-13,Shell Gas Station,-37.89630266092918
2026-07-15,Fancy Dinner Place,-22.373958230664194
2026-07-15,Costco,-87.75277611064074
2026-07-15,Concert Ticket,-36.53155305231553
2026-07-15,City Utility Bill,-154.14143026853796
2026-07-16,Whole Foods,-88.37732318425041
2026-07-17,Parking,-26.70579180097756
2026-07-17,Local Market,-80.61913322857191
2026-07-18,Uber,-24.672185975863
2026-07-20,Spotify,-34.68254839794318
2026-07-21,Safeway,-56.391752839456274
2026-07-21,Whole Foods,-100.42289958261901
2026-07-22,Public Transit,-35.29234581429924
2026-07-23,Uber Eats,-28.801768575294464
2026-07-24,Netflix,-15.99
2026-07-24,Spotify,-10.99
2026-07-24,Steam Games,-22.226039310392554
2026-07-25,Local Cafe,-44.521918800771765
2026-07-27,Public Transit,-23.33050588007483
2026-07-28,Local Cafe,-22.91549615236366
2026-07-28,Chipotle,-37.095096862646784
2026-07-29,Starbucks,-28.48188198354994
2026-07-29,Starbucks,-27.478708006163814
2026-08-01,Tech Corp Salary Input,5000.0
2026-08-01,Doctor Visit,-91.39403063238763
2026-08-01,Clothing Store,-160.55454765735863
2026-08-02,Online Store,-43.23895854632118
2026-08-03,Netflix,-27.634760564908323
2026-08-03,Lyft,-23.909010029195066
2026-08-04,Target,-23.084870735543465
2026-08-05,Starbucks,-42.60059094959124
2026-08-05,McDonalds,-56.67052375551841
2026-08-05,Luxury Apartments Rent,-1500.0
2026-08-06,Whole Foods,-50.380325589918534
2026-08-06,Whole Foods,-91.5874768056971
2026-08-08,Public Transit,-17.960387544157957
2026-08-09,Costco,-119.03582626739261
2026-08-09,Cinema,-27.57483026075082
2026-08-10,Chipotle,-27.20795614299937
2026-08-12,Fancy Dinner Place,-38.0556989530386
2026-08-13,Trader Joes,-83.61480765430866
2026-08-13,Amazon,-33.98770437347836
2026-08-14,Starbucks,-30.68289625719318
2026-08-15,City Utility Bill,-149.78815314898776
2026-08-16,Lyft,-36.27622243821151
2026-08-16,Whole Foods,-79.0535355368146
2026-08-17,Lyft,-35.79226736160108
2026-08-20,Public Transit,-18.56082890643598
2026-08-20,Cinema,-42.983881816920444
2026-08-23,Target,-36.80660421231003
2026-08-24,Spotify,-10.99
2026-08-24,Netflix,-15.99
2026-08-25,Concert Ticket,-10.29597330170879
2026-08-26,Lyft,-37.051677621270066
2026-08-26,Trader Joes,-100.74452112111223
2026-08-26,Costco,-68.76038713763162
2026-08-27,Fancy Dinner Place,-49.929284310229626
2026-08-28,Chipotle,-43.73305319649786
2026-08-28,Fancy Dinner Place,-46.86105254375347
2026-08-29,McDonalds,-17.913137190026617
2026-08-30,Chipotle,-46.52820810762161
2026-09-01,Tech Corp Salary Input,5000.0
2026-09-03,Whole Foods,-69.79720268619232
2026-09-05,Chipotle,-49.761466378633685
2026-09-05,Luxury Apartments Rent,-1500.0
2026-09-06,Netflix,-42.25327012933815
2026-09-07,Online Store,-36.80609582685973
2026-09-08,Spotify,-10.99
2026-09-08,Local Cafe,-17.55975504523771
2026-09-08,Lyft,-28.095722447668354
2026-09-08,Netflix,-15.99
2026-09-08,Trader Joes,-53.15362104264987
2026-09-11,Uber,-24.91140747916183
2026-09-12,Whole Foods,-74.46838193549571
2026-09-12,Health Insurance,-91.9514372315225
2026-09-13,Public Transit,-29.867570878866125
2026-09-13,Best Buy,-249.57310637690006
2026-09-13,Fancy Dinner Place,-34.40751168988912
2026-09-14,Amazon,-26.54441659313601
2026-09-14,Local Cafe,-45.92709388903209
2026-09-15,City Utility Bill,-135.52004233168785
2026-09-16,Starbucks,-48.64007182386055
2026-09-18,Starbucks,-38.35545761601429
2026-09-18,Costco,-76.89452533435062
2026-09-19,Online Store,-225.51037845503788
2026-09-19,Whole Foods,-94.7874311802213
2026-09-21,Costco,-50.01359595495682
2026-09-22,Starbucks,-48.609652463801574
2026-09-23,Lyft,-13.355833001567351
2026-09-26,Clothing Store,-44.20313369926046
2026-09-27,Cinema,-24.604760787299945
2026-09-27,Public Transit,-36.01843635945929
2026-09-28,Local Cafe,-15.083997125904345
2026-09-29,Netflix,-35.20280025738858
2026-10-01,Tech Corp Salary Input,5000.0
2026-10-01,Uber Eats,-54.86827133640851
2026-10-01,Local Cafe,-30.127850494914224
2026-10-03,Lyft,-14.789120501839065
2026-10-04,McDonalds,-23.768695128484275
2026-10-05,Luxury Apartments Rent,-1500.0
2026-10-06,Spotify,-40.45363355432241
2026-10-06,Health Insurance,-126.8871628167071
2026-10-07,Target,-41.66297290343713
2026-10-07,Lyft,-32.18015595289372
2026-10-07,Concert Ticket,-10.313104733820836
2026-10-07,Amazon,-59.8538257379584
2026-10-08,Local Market,-73.79420280122211
2026-10-09,Amazon,-199.2926420313824
2026-10-10,Lyft,-13.8173408455412
2026-10-10,Fancy Dinner Place,-53.31973736286418
2026-10-11,Lyft,-13.30067165123615
2026-10-11,Trader Joes,-89.16853304117308
2026-10-11,Fancy Dinner Place,-59.59624707008232
2026-10-14,Online Store,-40.43892265325196
2026-10-14,Local Market,-90.40050102962806
2026-10-15,Costco,-85.03602321659518
2026-10-15,City Utility Bill,-135.67900337739331
2026-10-16,Clothing Store,-162.44108245880813
2026-10-18,Costco,-110.0076005270007
2026-10-18,Uber Eats,-23.992624750397034
2026-10-18,Public Transit,-32.39174513982553
2026-10-20,Cinema,-28.87278246310143
2026-10-20,Uber,-16.209382191260673
2026-10-20,Local Market,-79.400775360973
2026-10-22,Netflix,-15.99
2026-10-22,Spotify,-10.99
2026-10-22,Uber,-19.025957455238558
2026-10-22,Public Transit,-20.149657784391618
2026-10-23,Starbucks,-40.84309339526794
2026-10-24,Fancy Dinner Place,-54.977147422979016
2026-10-26,Chipotle,-23.599184527600734
2026-10-26,Local Market,-51.35883245321463
2026-10-26,Whole Foods,-84.78079765603373
2026-10-28,Clothing Store,-34.693792711104535
2026-10-29,Uber Eats,-22.777652401353006
2026-11-01,Local Market,-51.44982641524537
2026-11-01,Trader Joes,-83.02366089713209
2026-11-01,Tech Corp Salary Input,5000.0
2026-11-02,Parking,-19.033551125046422
2026-11-03,McDonalds,-47.36261148295379
2026-11-04,Amazon,-54.4792098976011
2026-11-05,Uber Eats,-28.73111556837535
2026-11-05,Luxury Apartments Rent,-1500.0
2026-11-06,Public Transit,-28.009181691324414
2026-11-08,Online Store,-184.29480474153684
2026-11-08,Shell Gas Station,-38.54750540273429
2026-11-08,Uber Eats,-41.50262254664962
2026-11-08,McDonalds,-26.247099066535036
2026-11-09,Safeway,-57.41874706685453
2026-11-09,Chipotle,-39.21719075223611
2026-11-11,Uber,-20.21905839938944
2026-11-12,Chipotle,-44.27601288352415
2026-11-13,Online Store,-48.061148501755696
